,example_index,split
0,0,train
1,1,train
2,2,train
3,3,test
4,4,train
5,5,train
6,6,train
7,7,train
8,8,valid
9,9,train
10,10,valid
11,11,train
12,12,test
13,13,train
14,14,train
15,15,valid
16,16,train
17,17,train
18,18,train
19,19,train
20,20,train
21,21,train
22,22,valid
23,23,train
24,24,train
25,25,train
26,26,train
27,27,train
28,28,train
29,29,train
30,30,train
31,31,train
32,32,train
33,33,train
34,34,train
35,35,test
36,36,train
37,37,train
38,38,train
39,39,train
40,40,train
41,41,train
42,42,train
43,43,test
44,44,train
45,45,train
46,46,train
47,47,train
48,48,train
49,49,train
50,50,train
51,51,valid
52,52,train
53,53,train
54,54,train
55,55,train
56,56,train
57,57,train
58,58,train
59,59,train
60,60,test
61,61,train
62,62,valid
63,63,train
64,64,train
65,65,train
66,66,train
67,67,train
68,68,train
69,69,train
70,70,test
71,71,valid
72,72,train
73,73,train
74,74,train
75,75,valid
76,76,train
77,77,train
78,78,train
79,79,train
80,80,train
81,81,train
82,82,train
83,83,test
84,84,test
85,85,train
86,86,train
87,87,train
88,88,valid
89,89,train
90,90,train
91,91,train
92,92,train
93,93,train
94,94,train
95,95,train
96,96,train
97,97,train
98,98,train
99,99,train
100,100,train
101,101,train
102,102,train
103,103,train
104,104,train
105,105,train
106,106,train
107,107,train
108,108,test
109,109,train
110,110,train
111,111,train
112,112,train
113,113,train
114,114,train
115,115,train
116,116,train
117,117,train
118,118,train
119,119,train
120,120,train
121,121,test
122,122,test
123,123,train
124,124,train
125,125,valid
126,126,train
127,127,valid
128,128,train
129,129,train
130,130,train
131,131,train
132,132,train
133,133,train
134,134,train
135,135,train
136,136,train
137,137,valid
138,138,train
139,139,train
140,140,train
141,141,train
142,142,train
143,143,valid
144,144,train
145,145,train
146,146,valid
147,147,train
148,148,train
149,149,test
150,150,train
151,151,train
152,152,train
153,153,train
154,154,train
155,155,valid
156,156,train
157,157,train
158,158,train
159,159,train
160,160,train
161,161,valid
162,162,valid
163,163,train
164,164,test
165,165,train
166,166,valid
167,167,train
168,168,train
169,169,train
170,170,train
171,171,train
172,172,train
173,173,train
174,174,valid
175,175,train
176,176,test
177,177,train
178,178,test
179,179,test
180,180,train
181,181,train
182,182,train
183,183,valid
184,184,train
185,185,test
186,186,train
187,187,train
188,188,valid
189,189,train
190,190,train
191,191,train
192,192,train
193,193,train
194,194,train
195,195,train
196,196,train
197,197,train
198,198,train
199,199,train
200,200,test
201,201,train
202,202,train
203,203,train
204,204,train
205,205,train
206,206,train
207,207,train
208,208,train
209,209,train
210,210,train
211,211,train
212,212,train
213,213,train
214,214,train
215,215,train
216,216,train
217,217,train
218,218,test
219,219,train
220,220,train
221,221,train
222,222,train
223,223,train
224,224,train
225,225,train
226,226,train
227,227,valid
228,228,train
229,229,train
230,230,train
231,231,train
232,232,train
233,233,train
234,234,train
235,235,valid
236,236,train
237,237,train
238,238,train
239,239,train
240,240,train
241,241,train
242,242,train
243,243,train
244,244,test
245,245,test
246,246,test
247,247,train
248,248,test
249,249,train
250,250,train
251,251,train
252,252,train
253,253,valid
254,254,train
255,255,valid
256,256,train
257,257,valid
258,258,train
259,259,train
260,260,train
261,261,train
262,262,test
263,263,train
264,264,train
265,265,test
266,266,train
267,267,train
268,268,valid
269,269,train
270,270,train
271,271,train
272,272,test
273,273,train
274,274,valid
275,275,train
276,276,train
277,277,train
278,278,train
279,279,train
280,280,test
281,281,train
282,282,train
283,283,train
284,284,train
285,285,train
286,286,train
287,287,train
288,288,train
289,289,test
290,290,train
291,291,train
292,292,valid
293,293,train
294,294,train
295,295,train
296,296,train
297,297,train
298,298,valid
299,299,train
300,300,valid
301,301,valid
302,302,train
303,303,train
304,304,test
305,305,test
306,306,train
307,307,train
308,308,train
309,309,train
310,310,train
311,311,valid
312,312,train
313,313,train
314,314,train
315,315,train
316,316,train
317,317,train
318,318,train
319,319,valid
320,320,train
321,321,test
322,322,train
323,323,train
324,324,train
325,325,test
326,326,train
327,327,train
328,328,train
329,329,train
330,330,train
331,331,train
332,332,train
333,333,train
334,334,train
335,335,train
336,336,train
337,337,train
338,338,test
339,339,train
340,340,train
341,341,train
342,342,valid
343,343,train
344,344,train
345,345,valid
346,346,valid
347,347,train
348,348,train
349,349,train
350,350,train
351,351,train
352,352,train
353,353,train
354,354,valid
355,355,valid
356,356,train
357,357,train
358,358,train
359,359,train
360,360,train
361,361,train
362,362,train
363,363,train
364,364,train
365,365,train
366,366,train
367,367,train
368,368,valid
369,369,test
370,370,train
371,371,train
372,372,test
373,373,test
374,374,train
375,375,train
376,376,train
377,377,train
378,378,valid
379,379,train
380,380,train
381,381,train
382,382,train
383,383,train
384,384,train
385,385,train
386,386,train
387,387,train
388,388,train
389,389,train
390,390,valid
391,391,test
392,392,train
393,393,train
394,394,train
395,395,valid
396,396,valid
397,397,train
398,398,train
399,399,test
400,400,train
401,401,train
402,402,test
403,403,train
404,404,test
405,405,train
406,406,train
407,407,train
408,408,train
409,409,train
410,410,train
411,411,train
412,412,train
413,413,train
414,414,train
415,415,train
416,416,train
417,417,train
418,418,train
419,419,train
420,420,valid
421,421,train
422,422,train
423,423,train
424,424,train
425,425,train
426,426,train
427,427,valid
428,428,train
429,429,train
430,430,train
431,431,train
432,432,train
433,433,train
434,434,train
435,435,train
436,436,test
437,437,train
438,438,train
439,439,test
440,440,train
441,441,train
442,442,train
443,443,valid
444,444,test
445,445,train
446,446,valid
447,447,train
448,448,train
449,449,valid
450,450,train
451,451,train
452,452,valid
453,453,train
454,454,train
455,455,train
456,456,train
457,457,train
458,458,train
459,459,train
460,460,train
461,461,test
462,462,train
463,463,train
